symbol,entry,exit,pnl,type
SPY,2025-05-02 11:00:00-04:00,2025-05-02 11:03:00-04:00,-0.0,SmartExit
SPY,2025-05-02 12:38:00-04:00,2025-05-02 12:47:00-04:00,-0.0,SmartExit
SPY,2025-05-02 13:21:00-04:00,2025-05-02 13:23:00-04:00,-0.0,SmartExit
SPY,2025-05-02 14:00:00-04:00,2025-05-02 14:14:00-04:00,0.0,SmartExit
SPY,2025-05-05 10:39:00-04:00,2025-05-05 10:49:00-04:00,0.0,SmartExit
SPY,2025-05-05 11:54:00-04:00,2025-05-05 12:12:00-04:00,0.0,SmartExit
SPY,2025-05-05 14:11:00-04:00,2025-05-05 14:17:00-04:00,0.0,SmartExit
SPY,2025-05-05 14:43:00-04:00,2025-05-05 14:47:00-04:00,-0.0,SmartExit
SPY,2025-05-06 12:04:00-04:00,2025-05-06 12:08:00-04:00,-0.0,SmartExit
SPY,2025-05-06 13:02:00-04:00,2025-05-06 13:22:00-04:00,-0.0,SmartExit
SPY,2025-05-06 14:01:00-04:00,2025-05-06 14:11:00-04:00,-0.0,SmartExit
SPY,2025-05-06 14:56:00-04:00,2025-05-06 15:02:00-04:00,-0.0,SmartExit
SPY,2025-05-06 15:16:00-04:00,2025-05-06 15:19:00-04:00,-0.0,SmartExit
SPY,2025-05-06 15:31:00-04:00,2025-05-06 15:37:00-04:00,-0.0,SmartExit
SPY,2025-05-06 15:45:00-04:00,2025-05-07 09:35:00-04:00,-0.0,SmartExit
SPY,2025-05-07 12:41:00-04:00,2025-05-07 13:01:00-04:00,0.0,SmartExit
SPY,2025-05-07 14:35:00-04:00,2025-05-07 14:44:00-04:00,0.0,SmartExit
SPY,2025-05-07 14:56:00-04:00,2025-05-07 15:07:00-04:00,0.0,SmartExit
SPY,2025-05-08 14:34:00-04:00,2025-05-08 14:46:00-04:00,0.0,SmartExit
SPY,2025-05-08 15:19:00-04:00,2025-05-08 15:31:00-04:00,0.0,SmartExit
SPY,2025-05-09 11:05:00-04:00,2025-05-09 11:12:00-04:00,-0.0,SmartExit
SPY,2025-05-09 11:50:00-04:00,2025-05-09 11:54:00-04:00,-0.0,SmartExit
SPY,2025-05-09 13:01:00-04:00,2025-05-09 13:14:00-04:00,-0.0,SmartExit
SPY,2025-05-09 13:50:00-04:00,2025-05-09 13:56:00-04:00,0.0,SmartExit
SPY,2025-05-09 15:14:00-04:00,2025-05-09 15:20:00-04:00,-0.0,SmartExit
SPY,2025-05-12 11:34:00-04:00,2025-05-12 11:40:00-04:00,-0.0,SmartExit
SPY,2025-05-12 12:41:00-04:00,2025-05-12 12:57:00-04:00,0.0,SmartExit
SPY,2025-05-12 13:54:00-04:00,2025-05-12 13:56:00-04:00,-0.0,SmartExit
SPY,2025-05-12 14:04:00-04:00,2025-05-12 14:06:00-04:00,-0.0,SmartExit
SPY,2025-05-12 14:30:00-04:00,2025-05-12 14:34:00-04:00,0.0,SmartExit
SPY,2025-05-12 15:52:00-04:00,2025-05-13 09:42:00-04:00,0.0,SmartExit
SPY,2025-05-13 11:29:00-04:00,2025-05-13 11:32:00-04:00,0.0,SmartExit
SPY,2025-05-13 11:33:00-04:00,2025-05-13 11:35:00-04:00,-0.0,SmartExit
SPY,2025-05-13 12:13:00-04:00,2025-05-13 12:17:00-04:00,-0.0,SmartExit
SPY,2025-05-13 13:31:00-04:00,2025-05-13 13:41:00-04:00,-0.0,SmartExit
SPY,2025-05-13 14:52:00-04:00,2025-05-13 15:07:00-04:00,0.0,SmartExit
SPY,2025-05-13 15:13:00-04:00,2025-05-13 15:17:00-04:00,0.0,SmartExit
SPY,2025-05-14 10:23:00-04:00,2025-05-14 10:35:00-04:00,0.0,SmartExit
SPY,2025-05-14 10:50:00-04:00,2025-05-14 10:57:00-04:00,-0.0,SmartExit
SPY,2025-05-14 12:06:00-04:00,2025-05-14 12:07:00-04:00,-0.0,SmartExit
SPY,2025-05-14 12:32:00-04:00,2025-05-14 12:37:00-04:00,-0.0,SmartExit
SPY,2025-05-14 13:52:00-04:00,2025-05-14 13:55:00-04:00,-0.0,SmartExit
