sym,entry,exit,pnl,type
SPY,2025-05-01 10:38:00-04:00,2025-05-01 10:48:00-04:00,86.00000000001273,SmartExit
SPY,2025-05-01 12:36:00-04:00,2025-05-01 12:42:00-04:00,-116.00000000000819,SmartExit
SPY,2025-05-01 13:01:00-04:00,2025-05-01 13:14:00-04:00,224.0000000000009,SmartExit
SPY,2025-05-01 14:02:00-04:00,2025-05-01 14:23:00-04:00,129.99999999999545,SmartExit
SPY,2025-05-01 15:31:00-04:00,2025-05-01 15:34:00-04:00,-24.00000000000091,SmartExit
SPY,2025-05-01 15:48:00-04:00,2025-05-02 09:37:00-04:00,361.9999999999891,SmartExit
SPY,2025-05-02 11:00:00-04:00,2025-05-02 11:03:00-04:00,-74.00000000000091,SmartExit
SPY,2025-05-02 12:38:00-04:00,2025-05-02 12:47:00-04:00,-32.00000000001637,SmartExit
SPY,2025-05-02 13:21:00-04:00,2025-05-02 13:23:00-04:00,-120.00000000000455,SmartExit
SPY,2025-05-02 14:00:00-04:00,2025-05-02 14:14:00-04:00,66.00000000000819,SmartExit
SPY,2025-05-05 10:39:00-04:00,2025-05-05 10:49:00-04:00,69.99999999998181,SmartExit
SPY,2025-05-05 11:54:00-04:00,2025-05-05 12:12:00-04:00,92.00000000000728,SmartExit
SPY,2025-05-05 14:11:00-04:00,2025-05-05 14:17:00-04:00,0.0,SmartExit
SPY,2025-05-05 14:43:00-04:00,2025-05-05 14:47:00-04:00,-13.999999999987267,SmartExit
SPY,2025-05-06 12:04:00-04:00,2025-05-06 12:08:00-04:00,-53.99999999999636,SmartExit
SPY,2025-05-06 13:02:00-04:00,2025-05-06 13:22:00-04:00,-51.99999999999818,SmartExit
SPY,2025-05-06 14:01:00-04:00,2025-05-06 14:11:00-04:00,-24.00000000000091,SmartExit
SPY,2025-05-06 14:56:00-04:00,2025-05-06 15:02:00-04:00,-3.999999999996362,SmartExit
SPY,2025-05-06 15:16:00-04:00,2025-05-06 15:19:00-04:00,-83.99999999999181,SmartExit
SPY,2025-05-06 15:31:00-04:00,2025-05-06 15:37:00-04:00,-3.999999999996362,SmartExit
SPY,2025-05-06 15:45:00-04:00,2025-05-07 09:35:00-04:00,-300.0,SmartExit
SPY,2025-05-07 12:41:00-04:00,2025-05-07 13:01:00-04:00,164.00000000001,SmartExit
SPY,2025-05-07 14:35:00-04:00,2025-05-07 14:44:00-04:00,162.00000000001182,SmartExit
SPY,2025-05-07 14:56:00-04:00,2025-05-07 15:07:00-04:00,12.000000000011823,SmartExit
SPY,2025-05-08 14:34:00-04:00,2025-05-08 14:46:00-04:00,27.99999999999727,SmartExit
SPY,2025-05-08 15:19:00-04:00,2025-05-08 15:31:00-04:00,125.99999999999909,SmartExit
SPY,2025-05-09 11:05:00-04:00,2025-05-09 11:12:00-04:00,-141.99999999998454,SmartExit
SPY,2025-05-09 11:50:00-04:00,2025-05-09 11:54:00-04:00,-1.999999999998181,SmartExit
SPY,2025-05-09 13:01:00-04:00,2025-05-09 13:14:00-04:00,-34.00000000001455,SmartExit
SPY,2025-05-09 13:50:00-04:00,2025-05-09 13:56:00-04:00,38.000000000010914,SmartExit
SPY,2025-05-09 15:14:00-04:00,2025-05-09 15:20:00-04:00,-36.00000000001273,SmartExit
SPY,2025-05-12 11:34:00-04:00,2025-05-12 11:40:00-04:00,-118.00000000000637,SmartExit
